Timestamp,ObjectName,correct
319.53,ERPTagsA1 ERPFlashTag2D (4) ERPFlashTagFeedback,1
323.15,ERPTagsA2 ERPFlashTag2D (4) ERPFlashTagFeedback,0
326.22,ERPTagsA2 ERPFlashTag2D (4) ERPFlashTagFeedback,0
331.39,ERPTagsA2 ERPFlashTag2D (4) ERPFlashTagFeedback,0
334.98,ERPTagsA3 ERPFlashTag2D (4) ERPFlashTagFeedback,0
335.98,ERPTagsA3 ERPFlashTag2D (4) ERPFlashTagFeedback,0
338.40,ERPTagsA3 ERPFlashTag2D (4) ERPFlashTagFeedback,0
341.97,ERPTagsA4 ERPFlashTag2D (3) ERPFlashTagFeedback,0
348.06,ERPTagsA4 ERPFlashTag2D (1) ERPFlashTagFeedback,1
353.29,ERPTagsA5 ERPFlashTag2D (3) ERPFlashTagFeedback,1
356.92,ERPTagsA6 ERPFlashTag2D (3) ERPFlashTagFeedback,0
358.25,ERPTagsA6 ERPFlashTag2D (2) ERPFlashTagFeedback,1
361.97,ERPTagsA7 ERPFlashTag2D (2) ERPFlashTagFeedback,0
366.29,ERPTagsA7 ERPFlashTag2D (4) ERPFlashTagFeedback,1
370.70,ERPTagsA8 ERPFlashTag2D (4) ERPFlashTagFeedback,0
374.35,ERPTagsA8 ERPFlashTag2D (1) ERPFlashTagFeedback,1
