Timestamp,ObjectName,correct
223.76,ERPTagsA1 ERPFlashTag2D (4) ERPFlashTagFeedback,1
229.71,ERPTagsA2 ERPFlashTag2D (2) ERPFlashTagFeedback,1
235.82,ERPTagsA3 ERPFlashTag2D (3) ERPFlashTagFeedback,1
244.08,ERPTagsA4 ERPFlashTag2D (1) ERPFlashTagFeedback,1
250.51,ERPTagsA5 ERPFlashTag2D (1) ERPFlashTagFeedback,0
260.56,ERPTagsA5 ERPFlashTag2D (3) ERPFlashTagFeedback,1
270.46,ERPTagsA6 ERPFlashTag2D (2) ERPFlashTagFeedback,1
276.16,ERPTagsA7 ERPFlashTag2D (4) ERPFlashTagFeedback,1
280.49,ERPTagsA8 ERPFlashTag2D (1) ERPFlashTagFeedback,1
