Timestamp,ObjectName,correct
200.62,ERPTagsA1 ERPFlashTag2D (4) ERPFlashTagFeedback,1
205.76,ERPTagsA2 ERPFlashTag2D (2) ERPFlashTagFeedback,1
209.29,ERPTagsA3 ERPFlashTag2D (3) ERPFlashTagFeedback,1
215.46,ERPTagsA4 ERPFlashTag2D (1) ERPFlashTagFeedback,1
219.22,ERPTagsA5 ERPFlashTag2D (3) ERPFlashTagFeedback,1
222.79,ERPTagsA6 ERPFlashTag2D (3) ERPFlashTagFeedback,0
224.04,ERPTagsA6 ERPFlashTag2D (2) ERPFlashTagFeedback,1
227.63,ERPTagsA7 ERPFlashTag2D (4) ERPFlashTagFeedback,1
232.31,ERPTagsA8 ERPFlashTag2D (1) ERPFlashTagFeedback,1
