Timestamp,ObjectName,correct
330.60,ERPTagsA1 ERPFlashTag2D (3) ERPFlashTagFeedback,0
331.68,ERPTagsA1 ERPFlashTag2D (3) ERPFlashTagFeedback,0
333.19,ERPTagsA1 ERPFlashTag2D (4) ERPFlashTagFeedback,1
340.82,ERPTagsA2 ERPFlashTag2D (2) ERPFlashTagFeedback,1
344.33,ERPTagsA3 ERPFlashTag2D (2) ERPFlashTagFeedback,0
347.47,ERPTagsA3 ERPFlashTag2D (3) ERPFlashTagFeedback,1
354.93,ERPTagsA4 ERPFlashTag2D (1) ERPFlashTagFeedback,1
361.80,ERPTagsA5 ERPFlashTag2D (3) ERPFlashTagFeedback,1
366.75,ERPTagsA6 ERPFlashTag2D (1) ERPFlashTagFeedback,0
372.98,ERPTagsA6 ERPFlashTag2D (2) ERPFlashTagFeedback,1
383.87,ERPTagsA7 ERPFlashTag2D (4) ERPFlashTagFeedback,1
387.41,ERPTagsA8 ERPFlashTag2D (4) ERPFlashTagFeedback,0
388.51,ERPTagsA8 ERPFlashTag2D (1) ERPFlashTagFeedback,1
