Timestamp,ObjectName,correct
195.34,ERPTagsA1 ERPFlashTag2D (4) ERPFlashTagFeedback,1
204.16,ERPTagsA2 ERPFlashTag2D (2) ERPFlashTagFeedback,1
211.07,ERPTagsA3 ERPFlashTag2D (2) ERPFlashTagFeedback,0
212.29,ERPTagsA3 ERPFlashTag2D (3) ERPFlashTagFeedback,1
215.81,ERPTagsA4 ERPFlashTag2D (1) ERPFlashTagFeedback,1
221.11,ERPTagsA5 ERPFlashTag2D (3) ERPFlashTagFeedback,1
225.52,ERPTagsA6 ERPFlashTag2D (2) ERPFlashTagFeedback,1
230.71,ERPTagsA7 ERPFlashTag2D (4) ERPFlashTagFeedback,1
236.81,ERPTagsA8 ERPFlashTag2D (1) ERPFlashTagFeedback,1
