Timestamp,ObjectName,correct
226.11,ERPTagsA1 ERPFlashTag2D (4) ERPFlashTagFeedback,1
233.27,ERPTagsA2 ERPFlashTag2D (2) ERPFlashTagFeedback,1
239.48,ERPTagsA3 ERPFlashTag2D (3) ERPFlashTagFeedback,1
243.08,ERPTagsA4 ERPFlashTag2D (3) ERPFlashTagFeedback,0
245.37,ERPTagsA4 ERPFlashTag2D (1) ERPFlashTagFeedback,1
250.70,ERPTagsA5 ERPFlashTag2D (3) ERPFlashTagFeedback,1
256.09,ERPTagsA6 ERPFlashTag2D (2) ERPFlashTagFeedback,1
261.67,ERPTagsA7 ERPFlashTag2D (4) ERPFlashTagFeedback,1
265.24,ERPTagsA8 ERPFlashTag2D (4) ERPFlashTagFeedback,0
266.70,ERPTagsA8 ERPFlashTag2D (1) ERPFlashTagFeedback,1
