Timestamp,ObjectName,correct
228.63,ERPTagsA1 ERPFlashTag2D (1) ERPFlashTagFeedback,0
230.80,ERPTagsA1 ERPFlashTag2D (2) ERPFlashTagFeedback,0
247.35,ERPTagsA1 ERPFlashTag2D (4) ERPFlashTagFeedback,1
252.06,ERPTagsA2 ERPFlashTag2D (2) ERPFlashTagFeedback,1
255.60,ERPTagsA3 ERPFlashTag2D (2) ERPFlashTagFeedback,0
256.73,ERPTagsA3 ERPFlashTag2D (3) ERPFlashTagFeedback,1
263.48,ERPTagsA4 ERPFlashTag2D (1) ERPFlashTagFeedback,1
267.19,ERPTagsA5 ERPFlashTag2D (3) ERPFlashTagFeedback,1
271.07,ERPTagsA6 ERPFlashTag2D (2) ERPFlashTagFeedback,1
274.66,ERPTagsA7 ERPFlashTag2D (4) ERPFlashTagFeedback,1
279.55,ERPTagsA8 ERPFlashTag2D (1) ERPFlashTagFeedback,1
