Timestamp,ObjectName,correct
126.86,ERPTagsA1 ERPFlashTag2D (2) ERPFlashTagFeedback,0
131.76,ERPTagsA1 ERPFlashTag2D (4) ERPFlashTagFeedback,1
136.52,ERPTagsA2 ERPFlashTag2D (2) ERPFlashTagFeedback,1
140.09,ERPTagsA3 ERPFlashTag2D (2) ERPFlashTagFeedback,0
143.87,ERPTagsA3 ERPFlashTag2D (3) ERPFlashTagFeedback,1
148.46,ERPTagsA4 ERPFlashTag2D (1) ERPFlashTagFeedback,1
154.21,ERPTagsA5 ERPFlashTag2D (3) ERPFlashTagFeedback,1
157.75,ERPTagsA6 ERPFlashTag2D (3) ERPFlashTagFeedback,0
162.04,ERPTagsA6 ERPFlashTag2D (2) ERPFlashTagFeedback,1
168.14,ERPTagsA7 ERPFlashTag2D (4) ERPFlashTagFeedback,1
171.76,ERPTagsA8 ERPFlashTag2D (4) ERPFlashTagFeedback,0
172.77,ERPTagsA8 ERPFlashTag2D (3) ERPFlashTagFeedback,0
175.43,ERPTagsA8 ERPFlashTag2D (3) ERPFlashTagFeedback,0
