Timestamp,ObjectName,correct
210.53,ERPTagsA1 ERPFlashTag2D (4) ERPFlashTagFeedback,1
216.93,ERPTagsA2 ERPFlashTag2D (2) ERPFlashTagFeedback,1
220.50,ERPTagsA3 ERPFlashTag2D (1) ERPFlashTagFeedback,0
222.65,ERPTagsA3 ERPFlashTag2D (3) ERPFlashTagFeedback,1
228.90,ERPTagsA4 ERPFlashTag2D (1) ERPFlashTagFeedback,1
235.75,ERPTagsA5 ERPFlashTag2D (1) ERPFlashTagFeedback,0
239.88,ERPTagsA5 ERPFlashTag2D (3) ERPFlashTagFeedback,1
244.85,ERPTagsA6 ERPFlashTag2D (2) ERPFlashTagFeedback,1
249.00,ERPTagsA7 ERPFlashTag2D (4) ERPFlashTagFeedback,1
252.54,ERPTagsA8 ERPFlashTag2D (4) ERPFlashTagFeedback,0
256.66,ERPTagsA8 ERPFlashTag2D (1) ERPFlashTagFeedback,1
