Timestamp,ObjectName,correct
235.56,ERPTagsA1 ERPFlashTag2D (4) ERPFlashTagFeedback,1
240.35,ERPTagsA2 ERPFlashTag2D (3) ERPFlashTagFeedback,0
241.68,ERPTagsA2 ERPFlashTag2D (2) ERPFlashTagFeedback,1
246.67,ERPTagsA3 ERPFlashTag2D (3) ERPFlashTagFeedback,1
250.38,ERPTagsA4 ERPFlashTag2D (1) ERPFlashTagFeedback,1
254.88,ERPTagsA5 ERPFlashTag2D (3) ERPFlashTagFeedback,1
262.60,ERPTagsA6 ERPFlashTag2D (2) ERPFlashTagFeedback,1
266.77,ERPTagsA7 ERPFlashTag2D (4) ERPFlashTagFeedback,1
271.83,ERPTagsA8 ERPFlashTag2D (1) ERPFlashTagFeedback,1
