Timestamp,ObjectName,correct
81.53,ERPTagsA1 ERPFlashTag2D (4) ERPFlashTagFeedback,1
85.09,ERPTagsA2 ERPFlashTag2D (4) ERPFlashTagFeedback,0
86.63,ERPTagsA2 ERPFlashTag2D (2) ERPFlashTagFeedback,1
96.33,ERPTagsA3 ERPFlashTag2D (3) ERPFlashTagFeedback,1
102.06,ERPTagsA4 ERPFlashTag2D (1) ERPFlashTagFeedback,1
107.29,ERPTagsA5 ERPFlashTag2D (3) ERPFlashTagFeedback,1
114.38,ERPTagsA6 ERPFlashTag2D (2) ERPFlashTagFeedback,1
119.49,ERPTagsA7 ERPFlashTag2D (4) ERPFlashTagFeedback,1
124.28,ERPTagsA8 ERPFlashTag2D (1) ERPFlashTagFeedback,1
