Timestamp,ObjectName,correct
229.53,ERPTagsW 1 ERPFlashTag2D (3) ERPFlashTagFeedback,1
238.89,ERPTagsW 2 ERPFlashTag2D (3) ERPFlashTagFeedback,1
245.57,ERPTagsW 3 ERPFlashTag2D (2) ERPFlashTagFeedback,1
250.65,ERPTagsW 4 ERPFlashTag2D (2) ERPFlashTagFeedback,0
260.21,ERPTagsW 4 ERPFlashTag2D (2) ERPFlashTagFeedback,0
260.96,ERPTagsW 4 ERPFlashTag2D (4) ERPFlashTagFeedback,1
268.31,ERPTagsW 5 ERPFlashTag2D (3) ERPFlashTagFeedback,0
272.28,ERPTagsW 5 ERPFlashTag2D (1) ERPFlashTagFeedback,1
279.62,ERPTagsW 6 ERPFlashTag2D (2) ERPFlashTagFeedback,1
284.67,ERPTagsW 7 ERPFlashTag2D (2) ERPFlashTagFeedback,0
290.57,ERPTagsW 7 ERPFlashTag2D (3) ERPFlashTagFeedback,1
295.60,ERPTagsW 8 ERPFlashTag2D (2) ERPFlashTagFeedback,0
300.01,ERPTagsW 8 ERPFlashTag2D (1) ERPFlashTagFeedback,1
