Timestamp,ObjectName,correct
434.23,ERPTagsW 1 ERPFlashTag2D (2) ERPFlashTagFeedback,0
437.39,ERPTagsW 1 ERPFlashTag2D (3) ERPFlashTagFeedback,1
446.14,ERPTagsW 2 ERPFlashTag2D (3) ERPFlashTagFeedback,1
453.08,ERPTagsW 3 ERPFlashTag2D (2) ERPFlashTagFeedback,1
459.12,ERPTagsW 4 ERPFlashTag2D (3) ERPFlashTagFeedback,0
462.86,ERPTagsW 4 ERPFlashTag2D (4) ERPFlashTagFeedback,1
470.33,ERPTagsW 5 ERPFlashTag2D (1) ERPFlashTagFeedback,1
477.74,ERPTagsW 6 ERPFlashTag2D (2) ERPFlashTagFeedback,1
485.52,ERPTagsW 7 ERPFlashTag2D (3) ERPFlashTagFeedback,1
493.05,ERPTagsW 8 ERPFlashTag2D (1) ERPFlashTagFeedback,1
