Timestamp,ObjectName,correct
272.71,ERPTagsW 1 ERPFlashTag2D (2) ERPFlashTagFeedback,0
274.05,ERPTagsW 1 ERPFlashTag2D (2) ERPFlashTagFeedback,0
277.05,ERPTagsW 1 ERPFlashTag2D (3) ERPFlashTagFeedback,1
287.89,ERPTagsW 2 ERPFlashTag2D (3) ERPFlashTagFeedback,1
293.21,ERPTagsW 3 ERPFlashTag2D (3) ERPFlashTagFeedback,0
295.94,ERPTagsW 3 ERPFlashTag2D (1) ERPFlashTagFeedback,0
298.09,ERPTagsW 3 ERPFlashTag2D (2) ERPFlashTagFeedback,1
314.89,ERPTagsW 4 ERPFlashTag2D (4) ERPFlashTagFeedback,1
325.99,ERPTagsW 5 ERPFlashTag2D (1) ERPFlashTagFeedback,1
340.84,ERPTagsW 6 ERPFlashTag2D (2) ERPFlashTagFeedback,1
356.11,ERPTagsW 7 ERPFlashTag2D (1) ERPFlashTagFeedback,0
357.86,ERPTagsW 7 ERPFlashTag2D (2) ERPFlashTagFeedback,0
363.03,ERPTagsW 7 ERPFlashTag2D (3) ERPFlashTagFeedback,1
373.55,ERPTagsW 8 ERPFlashTag2D (1) ERPFlashTagFeedback,1
