Timestamp,ObjectName,correct
431.04,ERPTagsW 1 ERPFlashTag2D (2) ERPFlashTagFeedback,0
434.66,ERPTagsW 1 ERPFlashTag2D (3) ERPFlashTagFeedback,1
444.14,ERPTagsW 2 ERPFlashTag2D (4) ERPFlashTagFeedback,0
448.09,ERPTagsW 2 ERPFlashTag2D (3) ERPFlashTagFeedback,1
454.90,ERPTagsW 3 ERPFlashTag2D (2) ERPFlashTagFeedback,1
460.89,ERPTagsW 4 ERPFlashTag2D (2) ERPFlashTagFeedback,0
462.03,ERPTagsW 4 ERPFlashTag2D (2) ERPFlashTagFeedback,0
464.72,ERPTagsW 4 ERPFlashTag2D (2) ERPFlashTagFeedback,0
471.15,ERPTagsW 5 ERPFlashTag2D (1) ERPFlashTagFeedback,1
477.17,ERPTagsW 6 ERPFlashTag2D (2) ERPFlashTagFeedback,1
483.65,ERPTagsW 7 ERPFlashTag2D (3) ERPFlashTagFeedback,1
490.96,ERPTagsW 8 ERPFlashTag2D (1) ERPFlashTagFeedback,1
