Timestamp,ObjectName,correct
353.39,ERPTagsW 1 ERPFlashTag2D (2) ERPFlashTagFeedback,0
357.18,ERPTagsW 1 ERPFlashTag2D (1) ERPFlashTagFeedback,0
358.09,ERPTagsW 1 ERPFlashTag2D (3) ERPFlashTagFeedback,1
367.43,ERPTagsW 2 ERPFlashTag2D (3) ERPFlashTagFeedback,1
374.73,ERPTagsW 3 ERPFlashTag2D (2) ERPFlashTagFeedback,1
382.20,ERPTagsW 4 ERPFlashTag2D (4) ERPFlashTagFeedback,1
387.57,ERPTagsW 5 ERPFlashTag2D (3) ERPFlashTagFeedback,0
389.28,ERPTagsW 5 ERPFlashTag2D (1) ERPFlashTagFeedback,1
396.42,ERPTagsW 6 ERPFlashTag2D (2) ERPFlashTagFeedback,1
403.44,ERPTagsW 7 ERPFlashTag2D (3) ERPFlashTagFeedback,1
408.87,ERPTagsW 8 ERPFlashTag2D (4) ERPFlashTagFeedback,0
409.70,ERPTagsW 8 ERPFlashTag2D (1) ERPFlashTagFeedback,1
