Timestamp,ObjectName,correct
344.16,ERPTagsW 1 ERPFlashTag2D (3) ERPFlashTagFeedback,1
353.02,ERPTagsW 2 ERPFlashTag2D (3) ERPFlashTagFeedback,1
358.76,ERPTagsW 3 ERPFlashTag2D (2) ERPFlashTagFeedback,1
367.54,ERPTagsW 4 ERPFlashTag2D (4) ERPFlashTagFeedback,1
375.40,ERPTagsW 5 ERPFlashTag2D (1) ERPFlashTagFeedback,1
380.65,ERPTagsW 6 ERPFlashTag2D (3) ERPFlashTagFeedback,0
383.78,ERPTagsW 6 ERPFlashTag2D (2) ERPFlashTagFeedback,1
391.11,ERPTagsW 7 ERPFlashTag2D (3) ERPFlashTagFeedback,1
398.09,ERPTagsW 8 ERPFlashTag2D (1) ERPFlashTagFeedback,1
