Timestamp,ObjectName,correct
239.67,ERPTagsW 1 ERPFlashTag2D (3) ERPFlashTagFeedback,1
246.86,ERPTagsW 2 ERPFlashTag2D (3) ERPFlashTagFeedback,1
253.12,ERPTagsW 3 ERPFlashTag2D (3) ERPFlashTagFeedback,0
254.04,ERPTagsW 3 ERPFlashTag2D (2) ERPFlashTagFeedback,1
260.80,ERPTagsW 4 ERPFlashTag2D (2) ERPFlashTagFeedback,0
262.47,ERPTagsW 4 ERPFlashTag2D (4) ERPFlashTagFeedback,1
268.95,ERPTagsW 5 ERPFlashTag2D (1) ERPFlashTagFeedback,1
276.02,ERPTagsW 6 ERPFlashTag2D (2) ERPFlashTagFeedback,1
282.11,ERPTagsW 7 ERPFlashTag2D (3) ERPFlashTagFeedback,1
287.88,ERPTagsW 8 ERPFlashTag2D (1) ERPFlashTagFeedback,1
