Timestamp,ObjectName,correct
199.33,ERPTagsW 1 ERPFlashTag2D (1) ERPFlashTagFeedback,0
204.09,ERPTagsW 1 ERPFlashTag2D (3) ERPFlashTagFeedback,1
211.65,ERPTagsW 2 ERPFlashTag2D (3) ERPFlashTagFeedback,1
218.89,ERPTagsW 3 ERPFlashTag2D (2) ERPFlashTagFeedback,1
225.74,ERPTagsW 4 ERPFlashTag2D (4) ERPFlashTagFeedback,1
231.96,ERPTagsW 5 ERPFlashTag2D (1) ERPFlashTagFeedback,1
240.55,ERPTagsW 6 ERPFlashTag2D (2) ERPFlashTagFeedback,1
248.05,ERPTagsW 7 ERPFlashTag2D (3) ERPFlashTagFeedback,1
255.51,ERPTagsW 8 ERPFlashTag2D (1) ERPFlashTagFeedback,1
