Timestamp,ObjectName,correct
256.57,ERPTagsW 1 ERPFlashTag2D (3) ERPFlashTagFeedback,1
263.22,ERPTagsW 2 ERPFlashTag2D (3) ERPFlashTagFeedback,1
270.57,ERPTagsW 3 ERPFlashTag2D (2) ERPFlashTagFeedback,1
275.62,ERPTagsW 4 ERPFlashTag2D (2) ERPFlashTagFeedback,0
280.55,ERPTagsW 4 ERPFlashTag2D (4) ERPFlashTagFeedback,1
287.11,ERPTagsW 5 ERPFlashTag2D (1) ERPFlashTagFeedback,1
292.79,ERPTagsW 6 ERPFlashTag2D (2) ERPFlashTagFeedback,1
299.89,ERPTagsW 7 ERPFlashTag2D (3) ERPFlashTagFeedback,1
306.71,ERPTagsW 8 ERPFlashTag2D (1) ERPFlashTagFeedback,1
