Timestamp,ObjectName,correct
164.18,ERPTagsW 1 ERPFlashTag2D (1) ERPFlashTagFeedback,0
176.16,ERPTagsW 1 ERPFlashTag2D (3) ERPFlashTagFeedback,1
195.56,ERPTagsW 2 ERPFlashTag2D (3) ERPFlashTagFeedback,1
213.93,ERPTagsW 3 ERPFlashTag2D (2) ERPFlashTagFeedback,1
226.60,ERPTagsW 4 ERPFlashTag2D (2) ERPFlashTagFeedback,0
235.61,ERPTagsW 4 ERPFlashTag2D (4) ERPFlashTagFeedback,1
242.22,ERPTagsW 5 ERPFlashTag2D (1) ERPFlashTagFeedback,1
257.30,ERPTagsW 6 ERPFlashTag2D (1) ERPFlashTagFeedback,0
259.30,ERPTagsW 6 ERPFlashTag2D (4) ERPFlashTagFeedback,0
265.62,ERPTagsW 6 ERPFlashTag2D (2) ERPFlashTagFeedback,1
272.06,ERPTagsW 7 ERPFlashTag2D (1) ERPFlashTagFeedback,0
280.84,ERPTagsW 7 ERPFlashTag2D (1) ERPFlashTagFeedback,0
285.37,ERPTagsW 7 ERPFlashTag2D (3) ERPFlashTagFeedback,1
293.42,ERPTagsW 8 ERPFlashTag2D (1) ERPFlashTagFeedback,1
