Timestamp,ObjectName,correct
279.57,ERPTagsW 1 ERPFlashTag2D (1) ERPFlashTagFeedback,0
283.21,ERPTagsW 1 ERPFlashTag2D (3) ERPFlashTagFeedback,1
290.88,ERPTagsW 2 ERPFlashTag2D (3) ERPFlashTagFeedback,1
298.45,ERPTagsW 3 ERPFlashTag2D (3) ERPFlashTagFeedback,0
303.19,ERPTagsW 3 ERPFlashTag2D (2) ERPFlashTagFeedback,1
312.27,ERPTagsW 4 ERPFlashTag2D (2) ERPFlashTagFeedback,0
315.79,ERPTagsW 4 ERPFlashTag2D (4) ERPFlashTagFeedback,1
326.76,ERPTagsW 5 ERPFlashTag2D (1) ERPFlashTagFeedback,1
333.12,ERPTagsW 6 ERPFlashTag2D (2) ERPFlashTagFeedback,1
340.23,ERPTagsW 7 ERPFlashTag2D (3) ERPFlashTagFeedback,1
346.73,ERPTagsW 8 ERPFlashTag2D (1) ERPFlashTagFeedback,1
