Timestamp,ObjectName,correct
426.80,ERPTagsW 1 ERPFlashTag2D (3) ERPFlashTagFeedback,1
445.99,ERPTagsW 2 ERPFlashTag2D (3) ERPFlashTagFeedback,1
451.03,ERPTagsW 3 ERPFlashTag2D (3) ERPFlashTagFeedback,0
456.26,ERPTagsW 3 ERPFlashTag2D (2) ERPFlashTagFeedback,1
464.87,ERPTagsW 4 ERPFlashTag2D (4) ERPFlashTagFeedback,1
471.18,ERPTagsW 5 ERPFlashTag2D (1) ERPFlashTagFeedback,1
479.84,ERPTagsW 6 ERPFlashTag2D (2) ERPFlashTagFeedback,1
488.59,ERPTagsW 7 ERPFlashTag2D (3) ERPFlashTagFeedback,1
496.16,ERPTagsW 8 ERPFlashTag2D (1) ERPFlashTagFeedback,1
