Timestamp,ObjectName,correct
488.21,ERPTagsS1 ERPFlashTag2D (3) ERPFlashTagFeedback,0
490.07,ERPTagsS1 ERPFlashTag2D (1) ERPFlashTagFeedback,1
493.14,ERPTagsS2 ERPFlashTag2D (3) ERPFlashTagFeedback,1
496.80,ERPTagsS3 ERPFlashTag2D (4) ERPFlashTagFeedback,1
500.76,ERPTagsS4 ERPFlashTag2D (1) ERPFlashTagFeedback,0
503.83,ERPTagsS4 ERPFlashTag2D (4) ERPFlashTagFeedback,0
504.70,ERPTagsS4 ERPFlashTag2D (2) ERPFlashTagFeedback,1
508.85,ERPTagsS5 ERPFlashTag2D (4) ERPFlashTagFeedback,1
518.29,ERPTagsS6 ERPFlashTag2D (1) ERPFlashTagFeedback,1
524.08,ERPTagsS7 ERPFlashTag2D (3) ERPFlashTagFeedback,1
527.10,ERPTagsS8 ERPFlashTag2D (3) ERPFlashTagFeedback,0
535.13,ERPTagsS8 ERPFlashTag2D (2) ERPFlashTagFeedback,1
