Timestamp,ObjectName,correct
544.44,ERPTagsS1 ERPFlashTag2D (1) ERPFlashTagFeedback,1
548.59,ERPTagsS2 ERPFlashTag2D (3) ERPFlashTagFeedback,1
557.97,ERPTagsS3 ERPFlashTag2D (4) ERPFlashTagFeedback,1
561.07,ERPTagsS4 ERPFlashTag2D (2) ERPFlashTagFeedback,1
566.27,ERPTagsS5 ERPFlashTag2D (4) ERPFlashTagFeedback,1
580.60,ERPTagsS6 ERPFlashTag2D (1) ERPFlashTagFeedback,1
593.26,ERPTagsS7 ERPFlashTag2D (4) ERPFlashTagFeedback,0
594.59,ERPTagsS7 ERPFlashTag2D (3) ERPFlashTagFeedback,1
599.86,ERPTagsS8 ERPFlashTag2D (2) ERPFlashTagFeedback,1
