Timestamp,ObjectName,correct
599.19,ERPTagsS1 ERPFlashTag2D (2) ERPFlashTagFeedback,0
600.89,ERPTagsS1 ERPFlashTag2D (2) ERPFlashTagFeedback,0
602.05,ERPTagsS1 ERPFlashTag2D (2) ERPFlashTagFeedback,0
605.08,ERPTagsS2 ERPFlashTag2D (1) ERPFlashTagFeedback,0
607.42,ERPTagsS2 ERPFlashTag2D (3) ERPFlashTagFeedback,1
610.50,ERPTagsS3 ERPFlashTag2D (3) ERPFlashTagFeedback,0
613.05,ERPTagsS3 ERPFlashTag2D (4) ERPFlashTagFeedback,1
619.05,ERPTagsS4 ERPFlashTag2D (2) ERPFlashTagFeedback,1
622.09,ERPTagsS5 ERPFlashTag2D (2) ERPFlashTagFeedback,0
625.63,ERPTagsS5 ERPFlashTag2D (2) ERPFlashTagFeedback,0
640.33,ERPTagsS5 ERPFlashTag2D (4) ERPFlashTagFeedback,1
646.79,ERPTagsS6 ERPFlashTag2D (1) ERPFlashTagFeedback,1
649.86,ERPTagsS7 ERPFlashTag2D (1) ERPFlashTagFeedback,0
651.14,ERPTagsS7 ERPFlashTag2D (1) ERPFlashTagFeedback,0
653.24,ERPTagsS7 ERPFlashTag2D (3) ERPFlashTagFeedback,1
656.31,ERPTagsS8 ERPFlashTag2D (3) ERPFlashTagFeedback,0
660.16,ERPTagsS8 ERPFlashTag2D (2) ERPFlashTagFeedback,1
