Timestamp,ObjectName,correct
398.35,ERPTagsS1 ERPFlashTag2D (1) ERPFlashTagFeedback,1
405.02,ERPTagsS2 ERPFlashTag2D (3) ERPFlashTagFeedback,1
409.70,ERPTagsS3 ERPFlashTag2D (2) ERPFlashTagFeedback,0
412.03,ERPTagsS3 ERPFlashTag2D (4) ERPFlashTagFeedback,1
417.08,ERPTagsS4 ERPFlashTag2D (2) ERPFlashTagFeedback,1
424.47,ERPTagsS5 ERPFlashTag2D (4) ERPFlashTagFeedback,1
428.99,ERPTagsS6 ERPFlashTag2D (1) ERPFlashTagFeedback,1
432.04,ERPTagsS7 ERPFlashTag2D (1) ERPFlashTagFeedback,0
433.84,ERPTagsS7 ERPFlashTag2D (3) ERPFlashTagFeedback,1
438.06,ERPTagsS8 ERPFlashTag2D (2) ERPFlashTagFeedback,1
