Timestamp,ObjectName,correct
464.81,ERPTagsS1 ERPFlashTag2D (1) ERPFlashTagFeedback,1
468.32,ERPTagsS2 ERPFlashTag2D (4) ERPFlashTagFeedback,0
472.63,ERPTagsS2 ERPFlashTag2D (3) ERPFlashTagFeedback,1
475.69,ERPTagsS3 ERPFlashTag2D (3) ERPFlashTagFeedback,0
476.67,ERPTagsS3 ERPFlashTag2D (4) ERPFlashTagFeedback,1
479.72,ERPTagsS4 ERPFlashTag2D (4) ERPFlashTagFeedback,0
480.91,ERPTagsS4 ERPFlashTag2D (2) ERPFlashTagFeedback,1
483.95,ERPTagsS5 ERPFlashTag2D (2) ERPFlashTagFeedback,0
484.93,ERPTagsS5 ERPFlashTag2D (4) ERPFlashTagFeedback,1
487.97,ERPTagsS6 ERPFlashTag2D (4) ERPFlashTagFeedback,0
488.82,ERPTagsS6 ERPFlashTag2D (1) ERPFlashTagFeedback,1
493.31,ERPTagsS7 ERPFlashTag2D (3) ERPFlashTagFeedback,1
497.21,ERPTagsS8 ERPFlashTag2D (2) ERPFlashTagFeedback,1
