Timestamp,ObjectName,correct
474.20,ERPTagsS1 ERPFlashTag2D (1) ERPFlashTagFeedback,1
477.29,ERPTagsS2 ERPFlashTag2D (1) ERPFlashTagFeedback,0
481.21,ERPTagsS2 ERPFlashTag2D (3) ERPFlashTagFeedback,1
488.08,ERPTagsS3 ERPFlashTag2D (4) ERPFlashTagFeedback,1
492.03,ERPTagsS4 ERPFlashTag2D (2) ERPFlashTagFeedback,1
505.02,ERPTagsS5 ERPFlashTag2D (4) ERPFlashTagFeedback,1
510.03,ERPTagsS6 ERPFlashTag2D (1) ERPFlashTagFeedback,1
513.07,ERPTagsS7 ERPFlashTag2D (1) ERPFlashTagFeedback,0
514.24,ERPTagsS7 ERPFlashTag2D (1) ERPFlashTagFeedback,0
520.76,ERPTagsS7 ERPFlashTag2D (3) ERPFlashTagFeedback,1
529.19,ERPTagsS8 ERPFlashTag2D (2) ERPFlashTagFeedback,1
