Timestamp,ObjectName,correct
643.12,ERPTagsS1 ERPFlashTag2D (1) ERPFlashTagFeedback,1
656.85,ERPTagsS2 ERPFlashTag2D (3) ERPFlashTagFeedback,1
663.57,ERPTagsS3 ERPFlashTag2D (4) ERPFlashTagFeedback,1
669.82,ERPTagsS4 ERPFlashTag2D (1) ERPFlashTagFeedback,0
670.87,ERPTagsS4 ERPFlashTag2D (1) ERPFlashTagFeedback,0
679.71,ERPTagsS4 ERPFlashTag2D (2) ERPFlashTagFeedback,1
686.14,ERPTagsS5 ERPFlashTag2D (4) ERPFlashTagFeedback,1
690.90,ERPTagsS6 ERPFlashTag2D (1) ERPFlashTagFeedback,1
697.93,ERPTagsS7 ERPFlashTag2D (3) ERPFlashTagFeedback,1
710.90,ERPTagsS8 ERPFlashTag2D (1) ERPFlashTagFeedback,0
712.50,ERPTagsS8 ERPFlashTag2D (1) ERPFlashTagFeedback,0
714.97,ERPTagsS8 ERPFlashTag2D (2) ERPFlashTagFeedback,1
