Timestamp,ObjectName,correct
426.19,ERPTagsS1 ERPFlashTag2D (1) ERPFlashTagFeedback,1
442.35,ERPTagsS2 ERPFlashTag2D (2) ERPFlashTagFeedback,0
443.42,ERPTagsS2 ERPFlashTag2D (2) ERPFlashTagFeedback,0
459.70,ERPTagsS2 ERPFlashTag2D (2) ERPFlashTagFeedback,0
464.19,ERPTagsS3 ERPFlashTag2D (4) ERPFlashTagFeedback,1
468.27,ERPTagsS4 ERPFlashTag2D (2) ERPFlashTagFeedback,1
471.84,ERPTagsS5 ERPFlashTag2D (4) ERPFlashTagFeedback,1
475.61,ERPTagsS6 ERPFlashTag2D (1) ERPFlashTagFeedback,1
478.69,ERPTagsS7 ERPFlashTag2D (3) ERPFlashTagFeedback,1
482.67,ERPTagsS8 ERPFlashTag2D (2) ERPFlashTagFeedback,1
