Timestamp,ObjectName,correct
306.41,ERPTagsS1 ERPFlashTag2D (1) ERPFlashTagFeedback,1
310.61,ERPTagsS2 ERPFlashTag2D (3) ERPFlashTagFeedback,1
314.50,ERPTagsS3 ERPFlashTag2D (4) ERPFlashTagFeedback,1
321.25,ERPTagsS4 ERPFlashTag2D (2) ERPFlashTagFeedback,1
327.97,ERPTagsS5 ERPFlashTag2D (4) ERPFlashTagFeedback,1
333.49,ERPTagsS6 ERPFlashTag2D (1) ERPFlashTagFeedback,1
337.89,ERPTagsS7 ERPFlashTag2D (3) ERPFlashTagFeedback,1
341.83,ERPTagsS8 ERPFlashTag2D (3) ERPFlashTagFeedback,0
345.80,ERPTagsS8 ERPFlashTag2D (2) ERPFlashTagFeedback,1
