Timestamp,ObjectName,correct
452.03,ERPTagsS1 ERPFlashTag2D (1) ERPFlashTagFeedback,1
455.12,ERPTagsS2 ERPFlashTag2D (1) ERPFlashTagFeedback,0
460.74,ERPTagsS2 ERPFlashTag2D (3) ERPFlashTagFeedback,1
467.31,ERPTagsS3 ERPFlashTag2D (1) ERPFlashTagFeedback,0
485.86,ERPTagsS3 ERPFlashTag2D (4) ERPFlashTagFeedback,1
490.16,ERPTagsS4 ERPFlashTag2D (2) ERPFlashTagFeedback,1
497.18,ERPTagsS5 ERPFlashTag2D (4) ERPFlashTagFeedback,1
502.47,ERPTagsS6 ERPFlashTag2D (1) ERPFlashTagFeedback,1
505.82,ERPTagsS7 ERPFlashTag2D (3) ERPFlashTagFeedback,1
524.03,ERPTagsS8 ERPFlashTag2D (2) ERPFlashTagFeedback,1
