Timestamp,ObjectName,correct
287.06,ERPTagsS1 ERPFlashTag2D (2) ERPFlashTagFeedback,0
297.29,ERPTagsS1 ERPFlashTag2D (1) ERPFlashTagFeedback,1
307.86,ERPTagsS2 ERPFlashTag2D (3) ERPFlashTagFeedback,1
316.66,ERPTagsS3 ERPFlashTag2D (4) ERPFlashTagFeedback,1
320.84,ERPTagsS4 ERPFlashTag2D (2) ERPFlashTagFeedback,1
326.28,ERPTagsS5 ERPFlashTag2D (3) ERPFlashTagFeedback,0
331.05,ERPTagsS5 ERPFlashTag2D (2) ERPFlashTagFeedback,0
336.50,ERPTagsS5 ERPFlashTag2D (4) ERPFlashTagFeedback,1
342.84,ERPTagsS6 ERPFlashTag2D (1) ERPFlashTagFeedback,1
355.96,ERPTagsS7 ERPFlashTag2D (3) ERPFlashTagFeedback,1
364.28,ERPTagsS8 ERPFlashTag2D (2) ERPFlashTagFeedback,1
