Timestamp,ObjectName,correct
370.64,ERPTagsS1 ERPFlashTag2D (1) ERPFlashTagFeedback,1
388.93,ERPTagsS2 ERPFlashTag2D (2) ERPFlashTagFeedback,0
393.99,ERPTagsS2 ERPFlashTag2D (3) ERPFlashTagFeedback,1
398.86,ERPTagsS3 ERPFlashTag2D (4) ERPFlashTagFeedback,1
402.75,ERPTagsS4 ERPFlashTag2D (2) ERPFlashTagFeedback,1
412.21,ERPTagsS5 ERPFlashTag2D (1) ERPFlashTagFeedback,0
414.35,ERPTagsS5 ERPFlashTag2D (2) ERPFlashTagFeedback,0
415.62,ERPTagsS5 ERPFlashTag2D (2) ERPFlashTagFeedback,0
433.81,ERPTagsS6 ERPFlashTag2D (1) ERPFlashTagFeedback,1
436.88,ERPTagsS7 ERPFlashTag2D (4) ERPFlashTagFeedback,0
452.37,ERPTagsS7 ERPFlashTag2D (3) ERPFlashTagFeedback,1
456.86,ERPTagsS8 ERPFlashTag2D (2) ERPFlashTagFeedback,1
