Timestamp,ObjectName,correct
579.68,ERPTagsS1 ERPFlashTag2D (1) ERPFlashTagFeedback,1
585.49,ERPTagsS2 ERPFlashTag2D (3) ERPFlashTagFeedback,1
590.81,ERPTagsS3 ERPFlashTag2D (1) ERPFlashTagFeedback,0
598.45,ERPTagsS3 ERPFlashTag2D (4) ERPFlashTagFeedback,1
602.50,ERPTagsS4 ERPFlashTag2D (4) ERPFlashTagFeedback,0
603.77,ERPTagsS4 ERPFlashTag2D (4) ERPFlashTagFeedback,0
605.76,ERPTagsS4 ERPFlashTag2D (2) ERPFlashTagFeedback,1
613.18,ERPTagsS5 ERPFlashTag2D (4) ERPFlashTagFeedback,1
619.13,ERPTagsS6 ERPFlashTag2D (1) ERPFlashTagFeedback,1
646.38,ERPTagsS7 ERPFlashTag2D (3) ERPFlashTagFeedback,1
656.60,ERPTagsS8 ERPFlashTag2D (2) ERPFlashTagFeedback,1
