Timestamp,ObjectName,correct
243.81,ERPTagsS1 ERPFlashTag2D (3) ERPFlashTagFeedback,0
246.01,ERPTagsS1 ERPFlashTag2D (1) ERPFlashTagFeedback,1
255.23,ERPTagsS2 ERPFlashTag2D (3) ERPFlashTagFeedback,1
260.13,ERPTagsS3 ERPFlashTag2D (4) ERPFlashTagFeedback,1
263.42,ERPTagsS4 ERPFlashTag2D (2) ERPFlashTagFeedback,1
274.74,ERPTagsS5 ERPFlashTag2D (2) ERPFlashTagFeedback,0
278.94,ERPTagsS5 ERPFlashTag2D (4) ERPFlashTagFeedback,1
283.15,ERPTagsS6 ERPFlashTag2D (1) ERPFlashTagFeedback,1
290.53,ERPTagsS7 ERPFlashTag2D (3) ERPFlashTagFeedback,1
295.77,ERPTagsS8 ERPFlashTag2D (4) ERPFlashTagFeedback,0
302.11,ERPTagsS8 ERPFlashTag2D (2) ERPFlashTagFeedback,1
